Price,Model,Leather_interior,Fuel_type,Mileage,Gear_box_type,Airbags,Car_age
13328,RX 450,Yes,Hybrid,186005,Automatic,12,14
3607,Escape,Yes,Hybrid,168966,Automatic,0,13
11726,FIT,Yes,Petrol,91901,Automatic,4,10
39493,Santa FE,Yes,Diesel,160931,Automatic,4,8
26657,RX 350,Yes,Petrol,128500,Automatic,12,17
941,E 350,Yes,Diesel,184467,Automatic,12,10
1019,RX 450,Yes,Hybrid,138038,Automatic,12,11
59464,Santa FE,Yes,Diesel,76000,Automatic,4,8
549,CHR,Yes,Petrol,74146,Automatic,12,6
7683,Elantra,Yes,Petrol,121840,Automatic,12,8
28382,Elantra,Yes,Petrol,54317,Automatic,4,8
18826,Elantra,Yes,Petrol,112645,Automatic,4,12
20698,Prius,Yes,Plug-in Hybrid,187000,Automatic,12,12
17562,Camry,Yes,Petrol,39709,Automatic,12,7
549,GX 470,Yes,Petrol,0,Automatic,0,16
14454,Elantra,Yes,Petrol,158787,Automatic,4,13
15681,Vito,No,Diesel,180000,Manual,4,17
23235,Santa FE,Yes,Diesel,162000,Automatic,4,13
7527,FIT,No,Hybrid,158000,Automatic,4,14
19121,Elantra,Yes,Petrol,103490,Automatic,4,12
45734,H1,Yes,Diesel,61057,Automatic,4,8
20165,Jetta,Yes,Petrol,11200,Tiptronic,8,8
21326,Sonata,Yes,Hybrid,141000,Tiptronic,12,10
15681,Prius C,No,Hybrid,128000,Variator,8,12
55390,Santa FE,Yes,Diesel,100734,Automatic,4,7
12544,Aqua,No,Hybrid,141500,Automatic,8,12
34889,Civic,Yes,Petrol,87768,Automatic,4,8
38500,Q5,Yes,Petrol,87000,Tiptronic,12,10
87112,GLA 250,Yes,Petrol,5323,Tiptronic,0,5
1411,Juke,Yes,Petrol,87112,Automatic,0,9
16935,Fusion,No,Petrol,83000,Tiptronic,8,11
34657,H1,Yes,Diesel,154672,Automatic,4,10
36564,H1,Yes,Diesel,110969,Automatic,4,8
30063,H1,Yes,Diesel,148105,Automatic,4,9
43952,H1,Yes,Diesel,111643,Automatic,4,7
53154,Santa FE,Yes,Diesel,84506,Automatic,4,8
42337,Mustang,Yes,Petrol,75000,Tiptronic,6,8
3763,ML 350,Yes,Petrol,94362,Automatic,12,10
18189,Prius,No,Petrol,175000,Automatic,8,12
21953,Civic,No,Hybrid,16000,Automatic,10,10
21953,Camry,No,Petrol,195053,Automatic,0,12
19121,Elantra,Yes,Petrol,121362,Automatic,4,12
36065,Santa FE,Yes,Diesel,69191,Automatic,4,10
8781,FIT,Yes,Hybrid,83000,Tiptronic,12,12
6247,Cruze,Yes,Petrol,40772,Automatic,4,14
16289,Orlando,Yes,Diesel,172000,Automatic,4,12
549,Forester,Yes,Petrol,148213,Automatic,0,12
6981,Lacetti,Yes,Petrol,103246,Automatic,4,16
27284,Elantra,No,Petrol,105394,Tiptronic,12,8
15458,Genesis,Yes,Petrol,123346,Automatic,4,15
2901,Cruze,Yes,Petrol,80827,Automatic,12,10
1019,X5,Yes,Diesel,137802,Automatic,12,11
549,535,Yes,Hybrid,151586,Automatic,12,11
85553,Explorer,Yes,Petrol,100567,Automatic,4,7
